token,no_reasons,categ_1
ios152271360067,Because I placed an order A MONTH AGO and I STILL haven’t gotten it. It still says it’s “processing” and when I tried contacting you for THE SECOND TIME it said I couldn’t send an email because your inbox is full!!! What the hell happened to this company?? I USED to love adore me and you’ve run it into the ground.,order delays
ios15231456007,"Still says delayed in process ",order delays
43f664e47f81d8987e5e80c2c8d7b7f7,"In trying your company, I find it to be very unresponsive to customer satisfaction. I have orders paid for from February 5, 2018 that have not been received as of this date. Really???",order delays
ios15211584001299,There is no information on my order that has shipped,order delays
ios1521158400673,Extended processing times lead to stock outs when my items are finally packaged and I’m offered a voucher instead of the items I spent a lot of time choosing. You are not buying enough stock initially if you sell out in a couple days. This is consistently true of my size.,order delays
ios152409600019,"Nothing interesting ",order delays
ios152409600056,"I wanted to see if my order has an expected ship date; it has been almost three weeks and I’m still waiting for my package. If i knew a time and date when I could expect my package I would feel slightly better. I placed this order hoping it would be here in time for my trip ! ",order delays
adr152340480012,"I've been checking on an order I made on March 29th.  There is no update on my order or an easy customer service contact information on the app. ",order delays
ios152271360055,"I placed an order on February 23rd and I received an email on MARCH 25TH that it had JUST shipped and I still haven’t received my package and my tracking information shows nothing has happ ",order delays
ios15211584001408,"Order has not been shipped yet ",order delays
adr15217632005,My order has not shipped.,order delays
75dcb803c903e380bfcb54d0b8e83599,"I order 2 items, and it's been more than 3 weeks and still not ship. ",order delays
ios152159040052,"I’m still not sure why my order has been delayed for ten days. “We’re busier than usual” doesn’t account for such a lengthy delay
",order delays
ios1521158400224,I wonder why it is taking so long to get an order placed in February - it says it’s still processing.,order delays
b14e8dd06b893b7a1e641c2594d63a5c,"There was no date given.  It’s later than usual. ",order delays
b28fd17ec9b8ee751f0983ed15b2ad80,"my order from 3 weeks ago is still not proccessed or shipped. I had to send an email since you do not have chat, and who knows how long it will be before I get a response...?",order delays
ios152202240069,I work a lot and my life is busy all the time. I have been meaning to get this resolved long ago. However on my my first purchase I never received it then I was given a credit for the purchase and the original purchase was still sent and I have received it. In the second purchase I have not received and it is now 05/24/18. I can no longer pull up the tracking info..I now it’s late but I just wanted to bring that to your attention. I don’t shop online for reasons like this.. but I understand things happen,order delays
ios1521158400954,"I do not know how long my orders’ status will stay at pending. ",order delays
ios15211584001241,Order placed 2/28 and no update on when it will be shipped,order delays
dd93df88f16c8eace9338d6c234e8725,"my order was supposed to be delivered over a week ago but it is still ""processing""",order delays
ios152288640017,"Still waiting on an order placed March 4 that is still processing ",order delays
adr152202240020,because my items have been delayed and i need them ASAP,order delays
ios15241824009,My order has been delayed for almost a month now. This is crazy. I’m sure if it wasn’t free it would have been processed by now,order delays
adr15221088003,"No information on when I'll receive my orders. ",order delays
adr1521158400543,I had wanted to check on the status of my order but then realized that I had gotten an email from you guys saying that you could not fill my order because of your warehouse.,order delays
ios152159040078,"There is no definite date that my order will arrive. Says it was supposed to be here by now. Taking forever! ",order delays
a4709f613e3e9b2c0aeb539b74becde4,I placed an order on March 2 and by March 3 the money was taken out of my account.  Now it is March 13 and it says there is a delay in processing with no indication when my order will be processed.  I would like an update on my order and an expected date of shipment.,order delays
ios152159040035,My order has been processing for 2 weeks!🙁,order delays
ios152115840062,"I still haven’t received my package that I ordered almost a month ago 
",order delays
adr15232320006,"my very first order is still delayed. ",order delays
936035d734f0e5bccf3c8a353c29c298,"Iv been waiting on an order that was placed on March first. It still has not arrived...I think waiting for over 3 weeks is way to long considering my payments are made as soon as you expect them. Iv made more orders than I can count a d the deliveries are becoming longer and longer...to me this is not acceptable ",order delays
c0f4b4813d6a5abdca5351b7a8ca1308,"As of today, I still have not received the order I paid for on 3/22 and no one has contacted me with my order update. Since then, your company has taken money from my account for April, but I will not place another order from Adore me until I receive my order or a refund. Your site shows that my order is still delayed but does not say for how long.",order delays
1126a69577650c03dcc672e909d3c2bb,"Firstly, my order showed delivered but not on an official site (like UPS or Fed Ex). Later, it showed order still processing.",order delays
ios152409600087,"I’ve been checking the status of my order for weeks. But because the company is moving it has yet to ship. I bought the swim suit for my vacation, which I leave for on Wednesday. And I highly doubt I’ll get it by then. Which is very frustrating. I should have known about the move before my purchase. I should not have received an email a week later saying “sorry were moving, your item will ship soon.” Now it’s been almost 3 weeks. ",order delays
adr1521158400377,"I have been waiting for my orders to ship out as promised but because you supposedly have warehouse issues I have to be penalized for it. It's been 5 business days and my orders are still processing when you advertise a 1-2 business day processing time. ",order delays
ios152409600015,"I placed an order back on 3/3/18 and I still haven't received it and it's 4/12/18. I keep calling and no one can tell me anything, just that it's being processed. It's frustrating because I can't get any answers or my money back. So I just have to sit and wait for the package to come, if it ever get delivered. ",order delays
ios152167680035,"Well saw that my order is still processing.  Has been for over 2 weeks??  ",order delays
ios152202240026,No update on purchase made 25 days ago.,order delays
ios1521590400107,"My order still has not shipped... thinking about cancelling my order and subscription ",order delays
3155752da090d46c16b668e3218db8a8,Waiting for my order with has been processing since March 5th,order delays
ios152452800016,"I ordered a set March 17 and still have not received it or a reply to my inquiries ",order delays
ios152202240037,"I have had an order that has been delayed for 7 days. I have placed a second order and it has shipped already while the first order is still processing?  REALLY ",order delays
ef2c5e514d46c83c81ccb396fc19f04a,My order has been processing for 9 days. Would really like to know what is going on. The first excuse was due to high order volume and second excuse was moving warehouses...what is the real problem?,order delays
adr15232320002,"my order for March never came but the status shows that it was delivered. I need assistance ",order delays
adr1521158400106,"I signed up to this account last year.... it was great... until the beginning if the holidays. I have attempted to make multiple orders and they have taken weeks to process..then will be cancelled because out of stock items... the last few months have all been a struggle to order something and receive it in a timely manner.. I missed my wife's birthday in November, Christmas gift and Valentine's gift...i know your site has become increasingly popular but I will be cancelling my subscription. ",order delays
0c5a60947f23dba0f42cc076f2dc6d51,The status hasn't changed in weeks and I don't know why it hasn't,order delays
adr15215904001,I placed an order on March 1st and I'm not being told when it will arrive.,order delays
ios1521158400869,Cant navigate your site to find out why my order is taking so horrible long to ship,order delays
3e744a9b1be374bf6fa066f16a5789d3,Tracking information has not been updated,order delays
ios152271360057,"My order got delayed do to the move of your facility. It’s still showing order is being processed, making it unable to track. ",order delays
adr1521158400333,"I couldn't find my last order that I'm waiting on ",order delays
ios152409600048,Hasn’t been processed,order delays
adr15217632002,i placed my order on march 3rd and it didnt get shipped until march 20th,order delays
ios152159040056,"I can’t seem to figure out why my stuff is not shopping in a timely manner ",order delays
ios1521158400248,"It's showing processing with 5-7 business days and I ordered it on February 25th which is longer than 5-7 business days. How do I find the status on this order. If I don't get it soon I'm canceling or returning. ",order delays
adr15245280006,i was hoping to see the status of my most recent order and had hoped it shipped.,order delays
ios15224544005,"My order placed 3/17 still has not shipped. ",order delays
adr152150400019,my order is still being process since March 1st,order delays
33c8aa917dd640ff836387b937a6b59b,"Piece of crap website won't load right. I'm trying to find out why my order from Feb. 28th still hasn't shipped. ",order delays
ios152461440029,Your “delay in processing” issue is sbsilu,order delays
ios152202240051,"My order has been delayed way to long. I’m thinking of canceling my membership ",order delays
ios15220224006,"My order has been delayed ",order delays
adr152297280025,"I was sent an email that my order was delayed and now I have no idea what is going on with it. ",order delays
ios152271360047,"I ordered my stuff on the 15th and it is still processing! I have sent two emails, the last of which was sent this morning and it can’t be delivered because your mail box is full! Seriously...what kind of business is this? ",order delays
ios1521158400832,Ordered 9 days ago and still no shipment date . No resolution in site.,order delays
f5eb51769b79705124d50f5d11948493,"my order still says processing, you should really get a chat now , so we can just ask a rep what the problem is.",order delays
ios1521158400502,"I ordered five days ago and it is still telling me the order is processing. I should receive this in the next two days, but yet I am still not able to track my shipment, or anything. I’m getting really frustrated",order delays
ios1521158400328,"I placed an order on Feb 24th and should’ve received my order by now but it has not even been shipped. I’ve contacted customer service twice, both said it would be “shipped in 1-2 days,” and yet it still hasn’t shipped. The last girl I spoke, when asking to speak with a manager, let me know that they don’t talk to customers and there was no one else to escalate my complaint to, but she’d certainly let them know of my concerns. I needed my order by Tuesday before I leave for vacation and without priority or overnight shipping soon, that won’t happen. I’ve had a very difficult time finding bras that fit me right and are comfortable so I was really excited to try this brand. To say that I’m disappointed would be an understatement, and the fact that no one from your company seems to care about rectifying this problem just makes it worse. ",order delays
ios1521158400992,"I placed an order on 3/5/18 and it’s still being processed. Very disappointment on how long it’s taking to process my order, and I would still have to wait 7-10 for delivery after being processed. It’s frustrating especially since the money was taken out of my bank already. ",order delays
adr15215904009,"Because my order hasn't even been sent out yet. ",order delays
adr1521158400307,"i have been waiting for items I ordered (over serveral separate order numbers) to be shipped out. these items were ordered over 10 days ago and still have not been shipped. i contacted support and they gave me a 10 dollar credit, which ie worthless as using it would just s3nd5me through this entire loop of checking the status, contacting support, and having to wait 3 weeks minimum, to even receive my items.",order delays
ios1521158400268,"I called the contact us number, was on hold about 10min. Then actually said we can’t take your call and to call back later. I have an order that was placed on Feb 26th and still hasn’t shipped. My other order for VDay was ordered on Feb 6th and didn’t get it until Feb 16th, but the entire time I was waiting for my order to ship I was getting pop us telling my about free express shipping over $75 and get it by VDday! Def Annoying",order delays
adr1521158400513,"I placed an order on March 6, 2018. system still show it processing and not shipped.  it doesn't show why or when it will ship. very disappointed.",order delays
ios152159040024,"I placed an order on 3-8.it was accepted money deducted from my account and then 4 days later order was cancelled because you did not have in my size. I then place another order it was accepted and was to be delivered by the 21st it is now delayed because of warehouse issues. I called customer service and asked to cancel the order and get a refund and was told they could not do that. I ordered for a special occasion and it will not be delivered in time, if at all yet you are holding on to my money. I am very unhappy and wish I had never ordered..",order delays
19a592e87e97d85e27f6585c354be9af,"I have tried for weeks to contact you about my delayed order and no one will respond! I need a timeline for when my stuff is going to ship. I really need it for my vacation. ",order delays
adr152236800015,"because my order still hasn't shipped. ",order delays
5e3f7676e4e67e1772deaadc88926c52,"My order has not been processed for 20 days. And I was informed by phone that it is going to take another 5-6 days before I get a redund. At that point it will be to late for me to reorder and have my order by the time I go away. ",order delays
fdab86b9f4cf172367397e899732acaa,"""Unusually"" long hold times",order delays
ios1521158400125,"After 11 days I was hoping to see my order in some other state than “processing”. ",order delays
adr1521158400483,my order status hasn't changed from processing sense the 4th and no one has yet to email me back with some form of help,order delays
adr152176320016,"Find out the status of my order and why I haven't received it, let alone why it hasn't been shipped or why nothing has been done about this issue. ",order delays
1953c9b2e487ac629ea944781314e158,"Because it's been processing for almost a month now ",order delays
ios152236800066,"Since my order is still 'processing' & has been as of march 13 a credit for my 'free set isn't showing up & In not going to shop again until it does. ",order delays
ec0e9793cb30fc53d0786e0dbe543e14,"purchased order still in processing first due to weather now it is telling me they are switching locations been waiting 3 weeks ",order delays
ios152159040069,"Order delayed in processing. Don’t understand ",order delays
ios152219520033,Because I order something more than two weeks ago and haven’t been shipped and it was supouse to be here by the 10th,order delays
ios152236800041,"I’m waiting for my order to ship.  ",order delays
13c0ce77637cd5de53a687ec5ebfa9e3,It’s been delayed for 4 weeks,order delays
501a8ce9d636581d7112aafe71d0838b,they ask me to sign in And I did not wish to have a subscription.,order delays
a0d9fdb71e0bdd3f9fb7a15911cfdc7c,Super long processing times,order delays
ios152202240011,"No status updates ",order delays
ios15240960007,My order was placed on February 23rd it’s now April 11... I already called to not only cancel my membership but I wanted a com,order delays
ios152159040066,"Because you haven’t shipped my order, you don’t respond to emails or calls, and I want my money back!",order delays
ios152409600024,Still waiting for an order to be shipped that was placed over a month ago.,order delays
710705fced3205389dbd1196dd628c5c,"The details given on the AdoreMe website do not match the Asendia and/or USPS tracking details. AdoreMe labels something as shipped days, even a week, earlier than actually shipping on top of Asendia doing the same thing.",order delays
ios15211584001212,"I want to cancel an order that hasn’t shipped yet - it’s been 2 weeks since I placed the order and since my card was charged. I can’t cancel it, can’t “return” it. I can’t cancel my membership. I’m very frustrated. ",order delays
adr152141760042,"My goal was to try to figure out how long this ""delay"" is going to take. There is no information on your app about this. I am dreading calling Customer Service because I really don't want to be more disappointed.  Companies don't value their customers anymore, there are thousands of us, so what is one unsatisfied customer. I really just want the items that I paid for. Its such a shame.",order delays
ios1521158400849,My order has not been shipped yet,order delays
ios152271360052,"I ordered two swimsuits and I only got one. It’s been over two weeks. It doesn’t like like I’m going to get my other swimsuits ",order delays
046cc71ef4b4eeb39b8656792a0d3276,"Long wait time ",order delays
ios1521158400577,It looks as if my shipment is still in the same place that it has been for days.,order delays
ios15211584001447,Ordered on March 1. It’s March 6 and still processing,order delays
ios1521158400210,All my orders are still pending and my first one was placed 2/27,order delays
adr152141760025,"2 orders weeks old still have not shipped. ",order delays
ios152245440040,"Because it’s been 8 days since I ordered and after receiving 2 emails about my order shipping soon, it shows nothing. It still shows ordered and in processing. I was supposed to get my order within 5-7 days and it’s past that. Not too happy right now…",order delays
e9ef4a322d78c0e5fcaf6917914fdd96,taken over a month and my order is still processing. If I haven't logged in I would have never known. WHEN WILL MY ORDER SHIP AND ARRIVE,order delays
de3b34e4a6dd63beef4113b17a6289f6,"its still not sent out ",order delays
f0da14a017c70b7af2a5e1d0cbb00dca,"I have not been given a reason as to why my order from three weeks ago still has not been shipped. ",order delays
ios15226272004,"I placed my order over a month ago and it still has not arrived and I can’t check the status of my order. ",order delays
adr152141760041,My order still shows processing,order delays
ios1521158400653,The order still says it is processing. Has been over two weeks.,order delays
ios152176320036,My package has yet to be processed. It’s been a month,order delays
ios152280000024,It been a month... and still have not received my order.,order delays
ios1521158400116,It still says processing 😔,order delays
d3544f9023be54b93d7e5ce241c0b7e1,"It has not shipped and it has exceeded the estimated time to ship, and to say the least I’m not very impressed.",order delays
adr152340480014,"order still not shipped ",order delays
29ed122cc7d621a51bf6f55bb084fa31,"This is the second time I've ordered first time it took a month to even have my stuff shipped and I've still yet to receive my order. So I was told that the system had a glitch that this never happens and so I ordered another thing and the same thing is happening. ",order delays
ios152340480021,"Because your orders are all stuck. Mine has been “delayed in processing” for weeks. You also have the worst customer service ever, completely unable to resolve issues, they just keep repeating the same things and don’t find a solution at all. Appalling company! I’m never buying from you again",order delays
adr1521158400401,"Still processing ",order delays
50484f68b7a2876a69456efe654fe6a2,"The status was not updated ",order delays
adr152141760021,my order has been processing for the longest. will I ever recieve my purchase ?,order delays
ee92fd38cea14122b68ef3518e0986a1,"It’s been on delay for a while now and I can’t check it’s location ",order delays
ios152409600024,I didn’t see any sales or deals and the prices are super misleading and infuriating for college kids who can’t afford a monthly plan,order delays
6bfd5b73744ae61e15379efe12027424,It still states its delayed and i have had no response from customer care,order delays
ios1521158400922,"Order place 2wks ago still hasn’t shipped and I wanted to just cancel the order ",order delays
adr15215904008,"order is still processing, no info on a shipment time even though the website claimed items are shipped within a few days.. 2 weeks later and  nothing, no info and I already paid! very unhapy ",order delays
ios15220224009,My status is still delayed... With it being soo late they should handing out something to compensate.,order delays
ios1521158400879,I couldn’t fiqure out how to see what’s going on with my orders. Just really wanted to know was one of my order already shipped out.,order delays
ios15211584001027,"My order was placed 12 days ago and is still processing. ",order delays
8d4cb19f832684418b747800ba4f5ef0,Because my order is still delayed for almost a month,order delays
082cd091d62d284219ce788e35eb99dd,"The last order never showed up to date.  ",order delays
bf48408c5b0dc223047e6f918d11f92e,It is still processing 3 weeks later,order delays
ios152452800014,"Debating due to the extreme amount of time it took for the last order ",order delays
ios15211584001455,"Ordered on March 4th and still my order is processing. I understand it’s busy. But still no updates nothing. I needed this set for a special day and nothing. It would be nice to get some kind of compensation ",order delays
ios152314560015,I want my stuff!!!,order delays
892f7c821611e1821406c1f504ece368,"I placed the order a month ago. According to your site my order doesn’t exist.  Payment has been made but so far no order ",order delays
1fd39dad42cfc9b1b455060a0d1357ad,"I put in order on Monday and it's still processing that's why I was checking on it to see if you guys sent my order ",order delays
c09a6851f278d022a50b4b8ac9a46970,My order is delay now,order delays
f7524cd2bd74722ca7832993be359574,"I haven't received my order from Feb 26th and I am very upset that you don't give customers their order in a timely manner..but you took mine money. I am pissed and disappointed in your business ",order delays
adr15231456008,"you have had order processing for almost two months and I still don't have it.  ",order delays
a986c40ba2bf270e855270f792897d60,Because it still hasnt shipped after 20 days,order delays
59b1ff0effaac0115a09a00563a03772,Status has not changed in a month,order delays
adr152210880019,order has been delayed due to move to new warehouse but  no information was available as to when everything will resume,order delays
4f729e1cc5e059dee7141d8f20aef7ec,"I was prompted to send an email and at this point I am frustrated with the service and my package not being processed or sent ",order delays
ios152254080028,"Because it’s been processing for 15 Days ",order delays
ios15223680007,Waiting on an order since March 9th,order delays
ios152176320016,"I ordered something at the beginning of the month and it still hasn’t gone through I’m not happy with this and nothing ever changes. I would like to cancel my order and my subscription with Adore me. ",order delays
adr152305920011,"I placed an order March 1, 2018 and I have not received my merchandise yet.",order delays
adr152409600011,my order has been processing for about a month i was told i would get 50% of the bill back and I've still yet to see that,order delays
8542f599bcd9e35f93d349cb01ddd0cf,"My order has not moved in 22 days and your site doesn't make it easy to find out why. ",order delays
3679789b9c400583e9d0114641948bac,"An order I placed on 2/28/18 still listed as processing: Order #304006400 - Processing  Placed: February 28, 2018 Total: $0.00- very frustrating- I’ve written several messages to you requesting the information about when this order will ship, but I still do not have an answer  ",order delays
ios152202240061,"You guys have HORRIBLE POLICY’S -you give someone 30 minutes to cancel an order if they change their mind -but you hold people hostage ....I have had orders held up to FOUR weeks. Yes you heard me right four weeks. I don’t wanna order more because then I’m double spending in the event you do get more in stock and don’t release the order....but you sit and wait and wait and wait for it to get through processing and ship because you have run out of stock or as you tell people have so many orders to process you can’t handle the volume-which by the way speaks largely about your upper management.  However, as a customer is horrible to put in the position to have an order “in processing” and not know what’s happening for weeks. Especially when you have ordered multiple items in the month and some are different sizes because they are gifts. ",order delays
ios15245280002,"Order is still pending from last month ",order delays
ios152236800060,"I place an order over two weeks ago and it is still delayed in processing! I can understand a short delay but his is crazy and I have been contemplating canceling my order! I ordered my wife things from Victoria Secret the same day and she has already received it. ",order delays
ios152461440013,"Why I have no update for the fact that it’s been a month since I shipped my order ",order delays
ios152159040074,"Order placed 10 days ago. Frustrated ",order delays
ios152228160036,"Because my order from a month ago hasn’t shipped yet ",order delays
9800b09b1d3a63bfa17033aa9eceea90,Last two orders have been delayed for an extend period of time,order delays
adr152202240018,to ask why my order is talking so long to ship..,order delays
adr15221952006,i placed my order March 3 hoping to get my items for a vacation cruise and i haven't gotten information on shipping this is ridiculous. i may end up cancelling if not here soon,order delays
ios152409600031,I order awhile ago. And it still hasn’t shipped.,order delays
ios15211584001480,I placed two orders weeks ago and they are still in the ‘processing’ status.,order delays
e812efd146b396d510a419a74e41dfa7,"It still shows ""delayed"" . That tells me nothing! ",order delays
ios152409600019,Almost 3 weeks and my order still hasn’t shipped.,order delays
adr1521158400478,"my orders are still processing after 21 days, I was hoping to get them in the next couple of days",order delays
6797a09299f31b778b5c72f6857a45e9,placed order 4 weeks ago and still shows processing,order delays
adr152159040017,"Wondering why my order is taking so long to ship out. if it's going to be much longer I'd rather just cancel it and refund my money back. This was my first time ordering with you, so not a great experience when it takes this long to get an order out. ",order delays
ios152210880023,I was able to find out that you still have not shipped my order....,order delays
adr1521158400449,"my order was placed on March 3rd and still has not shipped and it most likely won't be here by March16th, which was stated before I made the purchase.",order delays
adr15237504003,"I wanted to see a projected delivery date for my delayed order.   There isn't one.   You have my money but I have no product or timeline of delivery. ",order delays
adr152461440056,I placed an order on March 23rd and has yet to be shipped. Almost a month after I placed that order now,order delays
adr1521158400335,my order is still processing after 8 days,order delays
adr152115840064,"found order was actually shipped, after customer service told me it wasnt..obviously didn't make it by Valentine's day as the website promised. very dissapointed ",order delays
adr1521158400476,"I'm still waiting on my order I placed on the 8th so I'm assuming I won't get it this week... the longest ive ever had to wait for an order form you all!!! ",order delays
88a82cd6cf0f2b21966b3dc7f1695310,It doesn't show if its on it way nor nothing taking so long,order delays
ios152280000026,"Nothing has moved. I’ve ordered by set of bra over two weeks ago. Nothing has moved I’ve got lame excuses in my email box, first saying there was a high demand and it would be delayed, then a week later I was notified of some sort of warehouse change, this should not have effected the orders placed weeks ago. Having delayed my purchase for so long is very unprofessional and it shows how disorganized this company is! I’ve heard so many good things, only to have my own experience like this. ",order delays
adr15215904003,"I have put in a order and not heard from my order I have not received it ",order delays
42a0746a05b897fbb54d6d185fac0690,I have been waiting to receive my first order since March 12,order delays
adr1521158400468,order not shipped yet.,order delays
ios15217632008,"No progress o my order being shipped. ",order delays
adr15227136003,"My order is still yet to be processed despite being placed a month ago. ",order delays
adr152167680019,my order has been in processing for almost a month,order delays
cd5eaded35b64fa48e1563762ea777e5,I placed an order on March 5th and I haven’t receive the merchandise yer,order delays
ios1521158400677,"Because my item hasn’t shipped yet and it’s my first product I’ve ever bought and I figured by now it would have shipped ",order delays
ios152167680037,"Because my orders are not being processed or shipped. Almost a month already. 
",order delays
ios152400960011,"I’ve been waiting for over a month for my order the rate things going it’ll be another two or three months before I’ll get them. I already had to buy some other bras and panties set to take on my trip. And I can’t believe I haven’t just cancelled my order, I guess I keep hoping my orders will come soon ",order delays
213bfd6d825b3e74f79daed9799b3457,It still hasn't been shipped,order delays
adr152461440074,apparently my order from feb 28 is stuck... from changing warehouse or something...,order delays
778fe2113b7b9367632ba408375a9229,my order is still processing 6 weeks after I ordered it. What the hell?,order delays
adr152228160013,"my order was placed on or before 3/18/18 and it still hasn't arrived. ",order delays
ios152314560014,Because there is no credible reason as to why my package has been delayed for a week. Again. I've been hearing the wear house excuse since September.,order delays
adr152176320013,I am not happy with adore me it's been over a week Monday will be two weeks and I still have not received my package,order delays
1667ed34aa0626c7bd936231444998ac,My orders bern stuck in processing for weeks now,order delays
d8c3527e646e65342c2e59bb2026754d,"i still havent recieved any update on my order and it still says ""delayed"". it has said delayed since march 4th",order delays
adr15214176006,"order not yet shipped,  no way to cancel it.",order delays
adr1521158400332,I want a delivery date. this information was not shown...,order delays
adr15216768006,I'm trying to figure out why it is taking so long to ship my order that was placed on March 9th,order delays
ios152340480031,"Because my ordered is still delayed and I’ve been waiting for over month. Spent $90 on it for my boyfriends birthday and I had nothing new or sexy to wear. ",order delays
70a2bb72ffffb856b8314582fb1b3856,Still processing over a month,order delays
e66bd084e038b17a4e4938124a9fcf23,"After a terribly lengthy delay in getting my order shipped, it just reads awaiting pick up from USPS for 4 days. ",order delays
ios152167680016,"I placed an order March 9. It is now March 21. Order still hasn’t shipped ! That is a ridiculous amount of time and I am highly disappointed ",order delays
ios15211584001344,"My order hasn’t shipped yet, and I was looking for before my vacation.",order delays
fe832b99c1519e21fdcd0440af598f70,Its going on three weeks and I have  not yet recieved my order. Will be the last time I order something.,order delays
df791088a730df2eb2e50bb2aabed2fa,My order was still not shipped after a month and a half and I have already been charged !,order delays
1068e2414fa9d6c76cb66288b614c5bc,"Because after 5 weeks of waiting, my order still hasn’t shipped.  But I am so very lucky because I got a whole $5 coupon while waiting for my $184 order.  ",order delays
ios1521158400575,I was checking the status of my order from JANUARY 18th that is still processing because y’all don’t care about your customers and won’t get me my order.,order delays
ios1521158400587,"You’re service is extremely slow. I ordered on February 27, with 5-7 day shipping. My order is still “ processing”. I will not be ordering again with this slow service ",order delays
ios152409600043,"I don’t know why my order STILL hasn’t shipped and my last email wasn’t replied to ",order delays
ios152409600032,"Ordered items 2 weeks ago for upcoming vacation. They’re apparently in delayed process limbo, no estimate on when it will ever ship, obviously won’t come in time, and I can’t even cancel the order. Absolutely ridiculous. Canceling my VIP membership. ",order delays
ios15240960006,"My status says delayed and my order has been made a month again ",order delays
ios1521158400297,"I have emailed about the status of my order and haven’t received a response other than the fact that you received my email. It is passed the 5-7 business days and the order is still in processing ",order delays
adr15214176003,"Nobody could give me any answers as to why my order hadn't shipped yet, 10days later nor when it would ship. And now 20days later still hasn't shipped yet. still just says processing",order delays
0436d58b8cb43126712b893a70e42ebd,"Because it says that it's still processing, ",order delays
ios152409600024,"I don’t have a lot of money and bras are expensive, no deals that we’re worth skipping a couple days worth of food , for now but sometimes they have bomb deals ",order delays
adr152288640010,"order is still processing, ordered a month ago.",order delays
4d9e38fae019cec85e0eff1e20520577,"My order has been in delayed processing since the end of March. I have sent three emails however I still have not gotten a response ",order delays
5bf3faa0e2889049b838af55593137d2,"I placed an order MARCH 4th, it is not MARCH 23. Why is it still processing? Why don't I have any answers other than ""it's delayed"" I understand you are going through public issues as a company, but this is ridiculous.",order delays
0782981b607384f48de34b50e26f45b0,Placed a order two weeks ago. The order is still in processing. When I call the answer I get is the warehouse is to blam. But no time can be given to me for delivery.,order delays
adr15215040004,still waiting on an order I placed almost a month ago. would like to buy more stuff but can't justify spending any more money with this company when I haven't even received my first order.,order delays
780fc3ff08842c6e7e5d069c526d089a,Order has been in processing for over 2 weeks now,order delays
adr15222816009,"my order is still delayed ",order delays
816f9f0d886555114bec6e0af3dfd237,"because it says the same dam thing every day from the day i placed the order on the 5th of april. where is my order ",order delays
ios1521158400713,I want to find out why my order is still processing and when it will ship,order delays
ios152305920012,"My order is not ship yet ",order delays
ios152236800043,I’m upset that I was never updated on when I would get my delivery until 3 weeks after.,order delays
ios152202240012,My stuff ain’t moving,order delays
adr15223680008,"It's getting annoying that my orders keep getting delayed in processing. This is the second order in the row. I've been happy with the product and the customer service has been great; but this is the second time in a row my orders have been delayed and last time it went on for over a month. Please fix this. ",order delays
ios15211584001186,"Place an order on February 7, and still have not received it and when I call they just say it is processing ",order delays
ios1521158400640,"Bought two different orders both knots two weeks ago now. I called last Tuesday and the woman I spoke to on the phone said they would be sent out in 1-2 buisness days and my orders are still in the process portion. They were both supposed to be gifts for my significant others birthday. I ordered them in more then enough time to be there by then. I signed up to be a VIP. I am extremely disappointed and not pleased with how long of a wait this is becoming. Spent over $300 on your brand and not one item has been shipped in over two weeks now. ",order delays
9f542638d1e765f55b4cffedd8b11ef8,"There is no date set. ",order delays
ios152245440023,"It has said delayed forever. What a joke. ",order delays
9ba1d656c4a3d64099584df1a953d0b1,My previous purchase wasn’t shipped so why should I het more?,order delays
ios152262720036,"The order is still processing and it’s been a few days... Not what I expected. ",order delays
adr1521158400362,my rder is still pending since the 1,order delays
35c1ddbade17a3bdd1c3a35eb7d1864e,Because the status of my order has not changed in two weeks.  No response or answer from Adore Me either no matter how much I try to contact them,order delays
ios152115840043,Unsure what “Processing order” means since I placed my order on March 1st.,order delays
ios1521158400486,My order has been “processing” for 10 days.,order delays
ios15217632003,"An order placed March 5th has not been shipped. Inquired March 12th and was assured it would be shipped in 2-3 business days. ",order delays
ios152409600027,"Because my purchases are still holding ",order delays
434d6014354a591d13fd2df3992878b5,"Delayed.  For a month.  Unacceptable.  How can you take over $100 from me and not tell me when I'll get my order?  This is robbery. ",order delays
adr1521158400511,"order still processing ",order delays
ios1521158400704,Order still processing for almost 2weeks & hasn’t even shipped yet! NOT HAPPY,order delays
adr152141760013,"I ordered my item over 2 weeks ago. still waiting on item. this is the second time since feb. never received 1st item. ",order delays
ios15211584001492,I should have received my order on The 14th and nothing yet,order delays
ios15220224002,My order has been delayed for 3 weeks,order delays
ios152280000054,Ordered an bra and panty set beginning of March. It is still processing. Looking for when I might receive it,order delays
adr152202240015,"because you guys havent shipped out My order ",order delays
ios152409600063,"Because my package has not arrive and it’s been over 2 weeks and this is the second time it happens ",order delays
ios152461440012,I’m really frustrated that you continue to use USPS. It often takes a month to receive my order. I placed an order on March 10 and it’s April 20 with no order still.  This has become the norm. It’s getting very frustrating. I’m getting ready to take a trip with my husband in 2 weeks but know I can’t buy lingerie here as it would never arrive before we leave....it’s making Adore Me irrelevant.,order delays
ios15211584001376,"I placed an order in October 2017, and have not received it yet. What’s taking so long?",order delays
2145e44c29d6b74d9156c0cb46e7fe7b,"long wait time ",order delays
